=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0007 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0007 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 529
Portrait Filename          := planet_ven_0007_small.bmp
Large Portrait Filename    := planet_ven_0007_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0011 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0011 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 549
Portrait Filename          := planet_ven_0011_small.bmp
Large Portrait Filename    := planet_ven_0011_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0019 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0019 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 589
Portrait Filename          := planet_ven_0019_small.bmp
Large Portrait Filename    := planet_ven_0019_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0021 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0021 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 599
Portrait Filename          := planet_ven_0021_small.bmp
Large Portrait Filename    := planet_ven_0021_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0027 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0027 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 629
Portrait Filename          := planet_ven_0027_small.bmp
Large Portrait Filename    := planet_ven_0027_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0028 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0028 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 634
Portrait Filename          := planet_ven_0028_small.bmp
Large Portrait Filename    := planet_ven_0028_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Moon 0001 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0001 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 268
Portrait Filename          := planet_moon_0001_medium.bmp
Large Portrait Filename    := planet_moon_0001_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0002 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0002 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 273
Portrait Filename          := planet_moon_0002_medium.bmp
Large Portrait Filename    := planet_moon_0002_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0003 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0003 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 278
Portrait Filename          := planet_moon_0003_medium.bmp
Large Portrait Filename    := planet_moon_0003_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0004 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0004 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 283
Portrait Filename          := planet_moon_0004_medium.bmp
Large Portrait Filename    := planet_moon_0004_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0005 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0005 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 288
Portrait Filename          := planet_moon_0005_medium.bmp
Large Portrait Filename    := planet_moon_0005_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0006 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0006 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 293
Portrait Filename          := planet_moon_0006_medium.bmp
Large Portrait Filename    := planet_moon_0006_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0007 Medium
Physical Type              := Planet
XFile Class Name           := Planet Moon 0007 Medium
Maximum Model Size         := 12.0
Hex Size                   := 1
Picture Index              := 298
Portrait Filename          := planet_moon_0007_medium.bmp
Large Portrait Filename    := planet_moon_0007_medium_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
